Card,Cost,Power,Card Ability
Agent 13,1,2,On Reveal: Add a random card to your hand.
Bucky Barnes,2,1,"When this is destroyed, create the Winter Soldier in its place."
Cloak,2,4,"On Reveal: Next turn, both players can move cards to this location."
Ebony Maw,1,7,"You can’t play this after turn 3.
Ongoing: You can’t play cards here."
Hobgoblin,5,-8,On Reveal: Your Opponent gains control of this.
Iceman,1,2,On Reveal: Give a random card in your opponent’s hand +1 Cost (maximum 6).
Jubilee,4,1,On Reveal: Add the top card of your deck at this location.
Killmonger,3,3,On Reveal: Destroy ALL 1-Cost cards.
Leech,5,3,"On Reveal: At the start of turn 6, remove the abilities from all cards in your opponent’s hand."
Morbius,2,0,Ongoing: +2 Power for each card you have discarded from your hand this game.
Nakia,3,3,On Reveal: Give the 2 leftmost cards in your hand +2 Power.
Okoye,2,2,On Reveal: Give every card in your deck +1 Power.
Rhino,3,3,On Reveal: Ruin this location (remove it’s ability).
Sabretooth,3,4,"When this is destroyed, return it to your hand. It costs 0."
Sandman,5,3,Ongoing: Players can only play 1 card a turn.
Scorpion,2,2,On Reveal: Afflict cards in your opponent’s hand with -1 Power.
Shang-Chi,4,3,On Reveal: Destroy all enemy cards at this location that have 9 or more Power.
Storm,3,2,On Reveal: Flood this location. Next turn is the last turn cards can be played here.
Sunspot,1,0,"At the end of each turn, gain +1 Power for each unspent Energy."
Swarm,2,3,"When this is discarded from your hand, add two 0-Cost copies to your hand."
The Collector,2,0,"When a card enters your hand from anywhere (except your deck), +1 Power."
The Infinaut,6,20,"If you played a card last turn, you can’t play this."
Vision,5,8,You can move this each turn.
Vulture,3,3,"When this card moves, +5 Power."
Warpath,4,5,"Ongoing: If any of your locations are empty, +4 Power."
Absorbing Man,4,4,"On Reveal: If the last card you played has an On Reveal ability, this card copies it."
Adam Warlock,2,0,"At the end of each turn, if you are winning this location, draw a card."
Aero,5,8,On Reveal: Move all enemy cards played this turn to this location.
Agatha Harkness,6,14,Agatha starts in your hand and plays your cards for you.
Agent Coulson,3,4,On Reveal: Add a random 4-cost and 5-cost card to your hand.
Arnim Zola,6,0,On Reveal: Destroy a random friendly card here. Add copies of it to the other locations.
Attuma,4,10,"If you have another card here at the end of your turn, destroy this."
Baron Mordo,2,3,On Reveal: Your opponent draws a card. Set its Cost to 6.
Beast,3,4,On Reveal: Return your other cards at this location to your hand. They cost 1 less.
Bast,1,1,On Reveal: Set the Power of all cards in your hand to 3.
Black Bolt,5,7,On Reveal: Your opponent must discard the lowest-Cost card in their hand.
Black Cat,4,9,"If this is in your hand at the end of your turn, discard it."
Black Panther,5,4,On Reveal: Double this card’s Power.
Black Widow,2,1,On Reveal: Add a Widow’s Bite to your opponent’s hand.
Brood,3,2,On Reveal: Add 2 Broodlings to this location with the same Power.
Captain Marvel,4,4,"At the end of the game, move to a location that wins you the game. (If possible)"
Cerebro,3,0,Ongoing: Your highest Power cards get +2 Power.
Colleen Wing,2,4,On Reveal: Discard the lowest-cost card from your hand.
Crossbones,4,8,You can only play this at locations where you are winning.
Crystal,3,3,On Reveal: Each player draws a card.
Dagger,2,2,"When this moves to a location, +2 Power for each card your opponent has there."
Daredevil,2,2,"On turn 5, you get to see your opponent’s plays before you make your own."
Dazzler,3,2,Ongoing: +2 Power for each location that’s full on your side.
Deadpool,1,1,"When this is destroyed, return it to your hand with double the Power."
Death,8,12,Costs 1 less for each card destroyed this game.
Debrii,3,3,"On Reveal: Add a Rock to each other location, for both players."
Destroyer,6,15,On Reveal: Destroy your other cards.
Doctor Octopus,5,10,On Reveal: Pull 4 random cards from your opponent’s hand to their side of this location.
Doctor Doom,6,5,On Reveal: Add a 5-Power DoomBot to each other location.
Dracula,4,0,"At the end of the game, discard a card from your hand. This has its Power."
Drax,4,6,"On Reveal: If your opponent played a card here this turn, +2 Power."
Electro,3,2,On Reveal: +1 Max Energy. Ongoing: You can only play 1 card a turn.
Falcon,2,3,On Reveal: Return your 1-Cost cards to your hand.
Gambit,3,3,On Reveal: Discard a card from your hand. Destroy a random enemy card.
Ghost,1,2,Ongoing: Your cards are always revealed last. (Their On Reveal abilities happen last)
Ghost Rider,4,3,On Reveal: Bring back one of your discarded cards to this location.
Giganto,6,14,You can only play this at the left location.
Goose,2,2,"Ongoing: Nobody can play cards that cost 4, 5, or 6 at this location."
Green Goblin,3,-3,On Reveal: Your opponent gains control of this.
Hazmat,2,2,On Reveal: Afflict all other cards with -1 Power.
Hela,6,6,On Reveal: Play all cards you discarded from your hand to random locations.
Helicarrier,6,10,"When you discard this from your hand, replace it with 3 random cards."
Hellcow,4,6,On Reveal: Discard 2 cards from your hand.
Human Torch,1,2,"When this moves, double its Power."
Invisible Woman,2,3,Ongoing: Cards you play here are not revealed until the game ends.
Juggernaut,3,3,"On Reveal: If your opponent played cards here this turn, move them randomly."
Kingpin,3,4,"When a card moves here on turn 6, destroy it."
Leader,6,2,"On Reveal: Copy the enemy card(s) with the highest Power played this turn, but on your side."
Lockjaw,3,2,"After you play a card here, swap it with a card in your deck. (Once per turn)"
Luke Cage,2,2,Ongoing: Your cards can’t have their Power reduced.
M’Baku,1,2,"If this is in your deck at the end of the game, it leaps to a random location."
Magik,3,2,You can’t play this on turn 6. On Reveal: Change this location to ‘Limbo’.
Magneto,6,12,On Reveal: Move all opposing 3 and 4-Cost cards to this location.
Maria Hill,1,2,On Reveal:Add a random 2-Cost card to your hand.
Maximus,3,7,On Reveal: Your opponent draws 2 cards.
Miles Morales,4,5,"If a card moved last turn, this costs 1."
Mojo,2,2,"Ongoing: If both sides here are full, +6 Power."
Moon Knight,3,3,On Reveal: Discard a card from each player’s hand.
Mister Negative,4,-1,On Reveal: Swap the Power and Cost of all cards in your deck.
Mysterio,2,4,"As you play this, play Illusions to other locations. Disguise this as an Illusion until the game ends."
Mystique,3,0,"On Reveal: If the last card you played has an Ongoing ability, this card gains it."
Nick Fury,4,5,On Reveal: Add 3 random 6-Cost cards to your hand.
Omega Red,4,5,"Ongoing: If you’re ahead by 10 Power here, +4 Power to other locations."
Orka,6,11,Ongoing: + 5 Power if this is your only card here.
Patriot,3,1,Ongoing: Your cards with no abilities have +2 Power.
Polaris,3,5,On Reveal: Move an opposing 1 or 2-Cost card to this location.
Psylocke,2,2,"On Reveal: Next turn, you get +1 Energy."
Quake,2,3,"On Reveal: If this is at the middle location, swap the positions of each location."
Quinjet,1,2,Ongoing: Cards that didn’t start in your deck cost 1 less.
Red Skull,5,14,Ongoing: Enemy cards at this location have +2 Power.
Rescue,4,4,"On Reveal: If you play a card here next turn, +5 Power."
Rockslide,3,3,On Reveal: Shuffle 2 Rocks into your opponent’s deck.
Rogue,3,2,On Reveal: Steal an Ongoing ability from a random enemy card at this location.
Ronan the Accuser,5,3,Ongoing: +2 Power for each card in your opponent’s hand.
Sauron,3,3,On Reveal: Remove the abilities from all Ongoing cards in your hand and deck.
Sentry,4,10,Cannot be played at the right Location. On Reveal: Add a -10 Power Void to the right Location.
Sera,5,5,Ongoing: Cards in your hand cost 1 less. (minimum 1)
Shadow King,2,3,On Reveal: Set all cards here to their original base Power.
Shanna,3,2,On Reveal: Add a random 1-Cost card to each Location.
She-Hulk,6,10,Costs 1 less for each unspent Energy last turn.
Shuri,4,1,"On Reveal: If you play your next card here, double its Power."
Silver Surfer,3,2,On Reveal: Give your other 3-Cost cards +2 Power
Spider-Man,5,4,On Reveal: Move to another location and pull an enemy card from here to there.
Super Skrull,4,2,Ongoing: Has the Ongoing effects of all enemy cards.
Taskmaster,5,0,On Reveal: Set this card’s Power equal to the Power of the last card you played (if that card’s in play).
The Hood,1,-3,On Reveal: Add a Demon to your hand.
Thor,3,4,On Reveal: Shuffle Mjolnir into your deck.
Titania,1,5,"When ANY card is played at this location, this card switches sides."
Typhoid Mary,4,10,Ongoing: Your other cards have -1 Power.
Ultron,6,8,On Reveal: Create four 1-Power Drones at each other location.
Valkyrie,5,3,On Reveal: Set ALL cards at this location to 3 Power.
Venom,3,3,On Reveal: Destroy your other cards at this location. Add their Power to this card.
Viper,2,3,On Reveal: Your opponent gains control of one of your other cards at this location.
Wasp,0,1,No ability.
Wave,3,3,On Reveal: All cards cost 4 until the end of next turn.
Wong,4,2,Ongoing: Your On Reveal abilities at this location happen twice.
Yelowjacket,0,2,On Reveal: Afflict your other cards at this location with -1 Power.
Zero,1,3,On Reveal: Remove the abilities on the next card you play.
Darkhawk,4,0,Ongoing: + 2 Power for each card in your opponent’s deck.
Knull,6,0,Ongoing: Has the combined Power of all cards destroyed this game.
Legion,5,7,On Reveal: Replace each other location with this one.
Master Mold,2,2,On Reveal: Add 2 Sentinels to your opponent’s hand
Mirage,2,2,On Reveal: Copy the lowest-Cost card in your opponent’s hand into your hand. Give it +2 power.
MODOK,5,8,On Reveal: Discard your hand.
Negasonic Teenage Warhead,3,5,"After ANY card is played here, destroy this card and that card."
Nimrod,5,6,"When this card is destroyed, add a copy to each other location."
Snowguard,1,2,On Reveal: Add the Hawk and Bear auroras to your hand.Hawk [3/3] On Reveal: Ignore all location abilities until the end of next turn (or the game).Bear [3/4] On Reveal: Trigger the effect of this location.
Spider-Ham,1,1,"On Reveal:Transform the leftmost card in your opponent’s hand into a Pig, keeping its Power and Cost."
Spider-Man 2099,4,6,"The first time this moves to a location, destroy an enemy card there."
Stature,5,6,Costs 1 if your opponent discarded a card from their hand this game.
Stegron,4,5,On Reveal: Move an enemy card from here to another location.
Zabu,4,2,Ongoing: Your 4-Cost cards cost 1 less (minimum 1)
Alioth,6,3,On Reveal: Destroy ALL enemy cards played here this turn (including unrevealed cards).
Annihilus (release date unknown),6,5,On Reveal: Each of your cards randomly chooses a location to move to.
Black Knight,1,2,"After you discard a card, add the Ebony Blade to your hand with that card’s Power (once per game)"
Daken,3,4,On Reveal: Add the Muramasa Shard to your hand.
Echo,1,2,"After your opponent plays an Ongoing card here, remove its abilities."
Elsa Bloodstone,2,2,"If you play another card to fill a location, give it +3 power"
Galactus,6,5,"On Reveal: If you’re winning this location and this is your only card here, destroy all other locations."
Ghost-Spider,1,2,On Reveal: The last card you played moves here.
Gorr the God Butcher (release date unknown),0,0,"On Reveal: Destroy all 6-cost cards, wherever they are."
High Evolutionary,4,4,"At the start of the game, unlock the secret ability of all your cards with no abilities."
Hit Monkey,3,2,On Reveal: Gain +2 Power for each other card you played this turn.
Howard the Duck,1,2,Ongoing: Tap this to see the top card of your deck.
Iron Lad,4,6,On Reveal: Copy the text of your deck’s top card.
Jean Grey,3,3,Ongoing: Players must play their first card here each turn (if possible).
Jeff the Baby Land Shark,2,3,You can move this once. Nothing can stop you from moving or playing this to any location.
Kang,5,0,"On Reveal: Look at what your opponent did, then restart the turn (without Kang)."
Kitty Pryde,1,0,"When this returns to your hands, +1 Power. Returns at the start of each turn."
Lady Deathstrike,5,4,On Reveal: Destroy each card here with less Power than this.
Loki,0,0,On Reveal: Swap hands with your opponent.
Man-Thing,4,5,"Ongoing: 1, 2, and 3-cost cards here have -2 Power."
Mobius M. Mobius,2,3,Ongoing: Your Costs can’t be increased. Your opponent’s Costs can’t be reduced.
Nebula,1,1,"Each turn your opponent doesn’t play a card here, +2 Power. (except the turn you play this)"
Nico Minoru (release date unknown),1,2,"On Reveal: After you play your next card, cast a spell (the spell changes each turn)."
Phoenix Force,4,5,On Reveal: Revive one of your destroyed cards and merge with it. That card can move each turn.
Ravonna Renslayer,3,3,Ongoing: Your cards with 1 or less Power cost 1 less (minimum 1)
Silk,2,5,"When anyone plays a card here, move this to another location."
Silver Samurai,4,5,On Reveal: Each player discards the lowest-Power card from their hand.
Thanos,6,8,"At the start of the game, shuffle the six Infinity Stones into your deck."
Thanos (Mind Stone),1,1,On Reveal: Draw 2 Stones from your deck.
Thanos (Power Stone),1,3,"Ongoing: If you’ve played all 6 stones, Thanos has +10 Power. (wherever he is)"
Thanos (Reality Stone),1,1,On Reveal: Transform this location into a new one. Draw a card.
Thanos (Soul Stone),1,1,Ongoing: Enemy cards here have -1 Power.
Thanos (Space Stone),1,1,On Reveal: Next turn you can move 1 card at this location. Draw a card.
Thanos (Time Stone),1,1,On Reveal: Gain +1 Energy next turn. Draw a card.
The Living Tribunal,6,9,"At the end of the game, split your Power evenly among all Locations."
Werewolf By Night (releases October 31),3,3,"After you play an On Reveal card at another location, move there and gain +2 Power."
X-23,1,2,On Reveal: Each player discards the lowest-Power card from their hand.
